fight_id,fighter_id,fighter_name,fighter_status,kd,n_pass,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,total_str_abs,total_str_att,total_str_def,total_str_land,td_abs,td_att,td_def,td_land,head_abs,head_att,head_def,head_land,body_abs,body_att,body_def,body_land,leg_abs,leg_att,leg_def,leg_land,distance_abs,distance_att,distance_def,distance_land,clinch_abs,clinch_att,clinch_def,clinch_land,ground_abs,ground_att,ground_def,ground_land
3ac61bcb406e1a0c,6d68c1afe954f121,Ode Osbourne,W,1,0,0,2,6,1,5,2,6,1,5,0,0,0,0,0,6,1,5,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,5,0,4
3ac61bcb406e1a0c,c9587d81e1d33925,Jerome Rivera,L,0,0,0,5,3,1,2,5,3,1,2,0,0,0,0,5,1,1,0,0,1,0,1,0,1,0,1,1,3,0,2,0,0,0,0,4,0,1,0
64bee58391921b4b,6fd953151d981979,JJ Aldrich,W,0,0,0,54,160,93,74,60,164,93,78,1,2,0,1,34,142,83,59,10,11,10,10,10,7,0,5,52,151,93,70,2,9,0,4,0,0,0,0
64bee58391921b4b,f923e012414c883e,Lauren Mueller,L,0,0,0,74,147,86,54,78,153,86,60,1,1,1,1,59,117,83,34,10,20,1,10,5,10,2,10,70,145,81,52,4,2,5,2,0,0,0,0
1e3d3545b6dd13a7,f86cb5f25d545e0e,Daniel Spitz,L,0,0,0,93,108,58,32,93,108,58,32,0,0,0,0,33,83,53,20,25,16,2,6,35,9,3,6,93,108,58,32,0,0,0,0,0,0,0,0
1e3d3545b6dd13a7,04c8b08b16a5b99e,Tanner Boser,W,0,0,0,32,151,76,93,32,151,76,93,0,0,0,0,20,86,63,33,6,27,10,25,6,38,3,35,32,151,76,93,0,0,0,0,0,0,0,0
3d9aeef58dd0b51b,41f90012b86a11bf,Raphael Pessoa,W,1,0,0,34,138,43,39,48,143,45,43,0,0,0,0,10,112,36,22,6,8,3,3,18,18,4,14,28,125,40,32,3,13,1,7,3,0,2,0
3d9aeef58dd0b51b,6a11e325aa60ad02,Jeff Hughes,L,0,1,0,39,77,99,34,43,93,100,48,0,0,0,0,22,46,90,10,3,9,5,6,14,22,4,18,32,68,93,28,7,4,6,3,0,5,0,3
d7cbe2f23d75afd1,1291edf2d566a71a,Julio Arce,L,0,0,0,55,124,84,32,83,162,87,64,0,3,0,1,15,101,64,21,25,22,17,11,15,1,3,0,40,116,81,28,11,8,3,4,4,0,0,0
d7cbe2f23d75afd1,2c9d00968f818270,Hakeem Dawodu,W,0,1,0,32,139,92,55,64,170,98,83,1,0,2,0,21,79,80,15,11,42,11,25,0,18,1,15,28,121,88,40,4,14,4,11,0,4,0,4
f0418c2c989a5cde,d3fa5c5955397532,Grigory Popov,L,0,2,0,30,88,33,35,34,111,36,57,6,0,3,0,8,57,24,16,12,22,7,14,10,9,2,5,27,65,25,25,0,5,2,4,3,18,6,6
f0418c2c989a5cde,113df4fde64735c6,Davey Grant,W,0,1,0,35,63,53,30,57,70,54,34,0,9,0,6,16,32,41,8,14,19,8,12,5,12,4,10,25,52,40,27,4,2,1,0,6,9,12,3
18e1b0df8da7010e,9b7dfb3b7d99926a,Vanessa Melo,L,0,0,0,79,125,61,40,155,161,69,76,2,0,7,0,53,116,56,32,16,7,2,7,10,2,3,1,46,117,57,32,12,6,0,6,21,2,4,2
18e1b0df8da7010e,68d4a891e5cf2029,Tracy Cortez,W,0,0,0,40,140,85,79,76,224,85,155,0,9,0,2,32,109,84,53,7,18,0,16,1,13,1,10,32,103,85,46,6,12,0,12,2,25,0,21
81af3b60203d92df,ea7e5bc78d9de658,Makhmud Muradov,W,1,0,1,39,183,57,91,39,183,57,91,0,1,1,1,20,143,51,59,5,40,3,32,14,0,3,0,38,182,57,91,1,1,0,0,0,0,0,0
81af3b60203d92df,f797f0c57a83353e,Trevor Smith,L,0,0,0,91,96,92,39,91,96,92,39,1,1,0,0,59,71,84,20,32,8,8,5,0,17,0,14,91,95,91,38,0,1,1,1,0,0,0,0
30523303e8d85c25,64facb6cc564262d,Punahele Soriano,W,2,0,0,8,44,9,26,11,46,9,26,0,1,0,1,4,37,7,20,3,7,1,6,1,0,1,0,3,19,9,10,4,3,0,2,1,22,0,14
30523303e8d85c25,1cf7ccf64a5bf24e,Oskar Piechota,L,0,1,0,26,17,18,8,26,20,20,11,1,0,0,0,20,11,17,4,6,4,1,3,0,2,0,1,10,12,9,3,2,4,1,4,14,1,8,1
15aa55a91cf848cf,1897b7b913736a7c,Heili Alateng,W,0,0,0,68,131,60,47,84,160,61,72,0,13,1,4,45,108,56,27,17,13,4,11,6,10,0,9,53,131,59,47,15,0,1,0,0,0,0,0
15aa55a91cf848cf,20999e27ddd94bda,Ryan Benoit,L,0,0,0,47,128,84,68,72,145,88,84,4,1,9,0,27,101,81,45,11,21,2,17,9,6,1,6,47,112,84,53,0,16,0,15,0,0,0,0
96fe84d051847591,70d2329a92864fdb,Sabina Mazo,W,0,0,0,58,323,86,118,69,327,87,121,0,0,0,0,45,258,80,66,10,34,3,29,3,31,3,23,49,292,83,92,9,31,3,26,0,0,0,0
96fe84d051847591,6fd953151d981979,JJ Aldrich,L,0,0,0,118,144,205,58,121,156,206,69,0,0,0,0,66,125,192,45,29,13,5,10,23,6,8,3,92,132,200,49,26,12,5,9,0,0,0,0
901dbd1e6463c4ba,4f140403000158b5,Herbert Burns,W,1,0,1,4,17,5,7,6,17,5,7,0,1,0,1,3,10,5,2,1,7,0,5,0,0,0,0,3,12,5,4,1,3,0,3,0,2,0,0
901dbd1e6463c4ba,583ee11abddfc581,Nate Landwehr,L,0,0,0,7,9,10,4,7,11,10,6,1,0,0,0,2,8,8,3,5,1,2,1,0,0,0,0,4,8,8,3,3,1,0,1,0,0,2,0
a6441acec6718f03,305d73ede05e31ad,Austin Lingo,L,0,0,0,31,61,24,12,49,68,31,16,6,1,6,1,16,47,21,5,6,10,3,5,9,4,0,2,28,56,23,11,2,5,0,1,1,0,1,0
a6441acec6718f03,52c2ae6d2f2d2613,Youssef Zalal,W,0,0,2,12,55,49,31,16,80,52,49,1,12,0,6,5,37,42,16,5,9,5,6,2,9,2,9,11,51,45,28,1,2,4,2,0,2,0,1
8725dc88f2e0a6f3,f57dd0bfa8c17813,Mark De La Rosa,L,0,0,0,54,124,72,45,67,124,72,45,0,2,0,0,33,91,65,21,10,24,3,15,11,9,4,9,45,122,71,44,8,2,1,1,1,0,0,0
8725dc88f2e0a6f3,82b4e942781b1046,Raulian Paiva,W,1,0,0,45,126,79,54,45,139,79,67,0,0,2,0,21,98,70,33,15,13,9,10,9,15,0,11,44,116,78,45,1,9,1,8,0,1,0,1
102fb91414fd24ab,b1e5bcaad32a3cac,Priscila Cachoeira,W,1,0,0,5,18,6,8,5,18,6,8,0,0,0,0,4,18,5,8,1,0,1,0,0,0,0,0,5,17,6,8,0,0,0,0,0,1,0,0
102fb91414fd24ab,122ac9b816d8b71c,Shana Dobson,L,0,0,0,8,11,10,5,8,11,10,5,0,0,0,0,8,9,10,4,0,2,0,1,0,0,0,0,8,11,9,5,0,0,0,0,0,0,1,0
533d0b5c0adfa15f,45f7cb591c3ab00b,Sean Brady,W,0,0,1,37,91,50,47,38,191,50,125,0,9,1,4,16,71,48,30,10,3,0,3,11,17,2,14,33,73,46,32,4,1,4,1,0,17,0,14
533d0b5c0adfa15f,6a96ad1bc34fb113,Ismail Naurdiev,L,0,0,0,47,87,44,37,125,88,66,38,4,1,5,0,30,64,41,16,3,10,0,10,14,13,3,11,32,79,41,33,1,8,0,4,14,0,3,0
4acab67848e78327,be9d259be012e8a4,Scott Morris,W,0,0,1,0,1,4,1,1,2,4,2,0,1,0,1,0,1,2,1,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,1,0,0,0,0
4acab67848e78327,a683f9ddb70aa4bd,Sean Daugherty,L,0,0,0,1,4,0,0,2,5,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0
4b9ae533ccb3fcdf,46c8ec317aff28ac,Patrick Smith,W,0,0,1,1,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4b9ae533ccb3fcdf,ea0ad155451ed1f5,Ray Wizard,L,0,0,0,1,1,0,1,1,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
ccee020be2e8d9f6,319fa1bd3176bded,Johnny Rhodes,W,0,0,0,4,17,1,11,95,86,7,74,0,1,0,1,4,15,1,9,0,1,0,1,0,1,0,1,1,1,1,1,2,1,0,1,1,15,0,9
ccee020be2e8d9f6,49590e0508b2c19f,David Levicki,L,0,0,0,11,5,6,4,74,102,12,95,1,0,0,0,9,5,6,4,1,0,0,0,1,0,0,0,1,2,0,1,1,2,0,2,9,1,6,1
d917c8c7461b9831,c3c23c99477c041b,Frank Hamaker,W,0,1,3,0,3,0,2,0,15,0,14,0,1,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1
d917c8c7461b9831,505934897b8b4824,Thaddeus Luster,L,0,0,0,2,0,1,0,14,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
3b020d4914b44fc8,a6c2f5381d575920,Orlando Wiet,W,0,0,0,2,12,4,8,2,15,4,11,1,0,0,0,1,11,1,7,0,1,1,1,1,0,2,0,2,3,4,1,0,0,0,0,0,9,0,7
3b020d4914b44fc8,96087e90d900f0ef,Robert Lucarelli,L,0,0,1,8,6,4,2,11,6,4,2,0,1,0,1,7,2,4,1,1,1,0,0,0,3,0,1,1,6,2,2,0,0,0,0,7,0,2,0
17ee4caf06981b81,749685d24e2cac50,Remco Pardoel,W,0,0,1,1,6,2,4,9,22,2,20,0,1,0,1,1,5,2,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5,2,4
17ee4caf06981b81,6e02c318762f52f1,Alberta Cerra Leon,L,0,0,0,4,3,2,1,20,11,2,9,1,0,0,0,4,3,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,2,1,0
c53325be8ce33b8b,6ceff86fae4f6b3b,Jason DeLucia,W,0,4,5,0,5,2,3,14,25,9,20,1,1,0,0,0,2,2,1,0,2,0,1,0,1,0,1,0,4,2,2,0,0,0,0,0,1,0,1
c53325be8ce33b8b,7d5b12de1625984e,Scott Baker,L,0,2,0,3,2,2,0,20,23,5,14,0,1,1,1,1,2,1,0,1,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0
fcd8e8ec45eb6b9f,429e7d3725852ce9,Royce Gracie,W,0,0,2,3,4,4,2,12,114,4,110,0,1,0,1,3,0,3,0,0,0,0,0,0,4,1,2,0,4,2,2,0,0,0,0,3,0,2,0
fcd8e8ec45eb6b9f,4565d435005319c0,Minoki Ichihara,L,0,0,0,2,7,2,3,110,16,4,12,1,0,0,0,0,6,0,3,0,0,0,0,2,1,2,0,2,2,2,0,0,0,0,0,0,5,0,3
8ea72cf82fac07f6,46c8ec317aff28ac,Patrick Smith,W,0,0,0,0,17,0,13,0,25,0,19,0,0,1,0,0,16,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,12
8ea72cf82fac07f6,be9d259be012e8a4,Scott Morris,L,0,0,0,13,0,4,0,19,0,6,0,0,1,0,0,12,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,4,0
b72acedda7ddc006,319fa1bd3176bded,Johnny Rhodes,W,1,0,1,4,29,3,13,7,38,4,21,0,0,0,0,0,28,1,12,2,0,2,0,2,1,0,1,4,6,3,3,0,2,0,1,0,21,0,9
b72acedda7ddc006,8d5daf67983b65ba,Fred Ettish,L,0,0,0,13,7,16,4,21,11,17,7,0,0,0,0,12,1,16,0,0,4,0,2,1,2,0,2,3,7,3,4,1,0,1,0,9,0,12,0
c4aa04781989699e,749685d24e2cac50,Remco Pardoel,W,0,0,0,1,7,1,7,5,7,2,7,0,1,0,1,0,7,1,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,7
c4aa04781989699e,a6c2f5381d575920,Orlando Wiet,L,0,0,0,7,2,0,1,7,7,0,5,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,7,0,0,0
5655639baecd8f6a,429e7d3725852ce9,Royce Gracie,W,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5655639baecd8f6a,6ceff86fae4f6b3b,Jason DeLucia,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8fbdde20b712b8da,46c8ec317aff28ac,Patrick Smith,W,0,0,1,4,12,5,5,4,12,5,5,0,0,0,0,2,4,3,1,0,2,0,2,2,6,2,2,4,10,5,3,0,2,0,2,0,0,0,0
8fbdde20b712b8da,319fa1bd3176bded,Johnny Rhodes,L,0,0,0,5,9,7,4,5,9,7,4,0,0,0,0,1,5,3,2,2,0,0,0,2,4,4,2,3,9,7,4,2,0,0,0,0,0,0,0
aa161c7159741766,429e7d3725852ce9,Royce Gracie,W,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa161c7159741766,749685d24e2cac50,Remco Pardoel,L,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00835554f95fa911,429e7d3725852ce9,Royce Gracie,W,0,0,0,1,4,1,4,2,11,1,11,0,2,0,1,0,3,0,3,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,3,0,3
00835554f95fa911,46c8ec317aff28ac,Patrick Smith,L,0,0,0,4,2,0,1,11,3,0,2,1,0,1,0,3,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0
0bcb04163f8d8ead,003d82fa384ca1d0,Aalon Cruz,L,0,0,0,20,12,9,2,29,12,9,2,0,1,0,0,19,4,8,2,0,4,1,0,1,4,0,0,2,12,4,2,4,0,1,0,14,0,4,0
0bcb04163f8d8ead,be68b375707dcb85,Spike Carlyle,W,0,0,0,2,29,10,20,2,38,10,29,0,0,1,0,2,27,2,19,0,1,4,0,0,1,4,1,2,6,10,2,0,5,0,4,0,18,0,14
59861c3d19eb46ef,ebef46976554f975,Jordan Griffin,W,0,0,3,32,23,15,15,91,28,28,20,7,1,0,0,26,21,13,13,6,2,1,2,0,0,1,0,9,17,13,9,10,3,0,3,13,3,2,3
59861c3d19eb46ef,d31cbcdd7d69536d,TJ Brown,L,0,0,0,15,47,8,32,20,119,8,91,0,7,1,7,13,39,8,26,2,7,0,6,0,1,0,0,9,22,8,9,3,10,0,10,3,15,0,13
9d2f7d29bb9c9034,2844b047183a1adb,Luis Pena,W,0,0,1,21,42,18,27,98,95,55,58,1,1,0,0,15,38,17,24,2,2,1,1,4,2,0,2,14,15,13,6,1,3,0,2,6,24,5,19
9d2f7d29bb9c9034,97cf1a2c7c5e7889,Steve Garcia,L,0,0,1,27,39,15,21,58,153,37,98,0,1,1,1,24,32,14,15,1,3,1,2,2,4,0,4,6,27,9,14,2,1,1,1,19,11,5,6
e30b9829e42aa4ca,c9cf753cfdf77fc2,Marcin Tybura,W,0,0,0,26,106,57,43,40,199,61,116,0,8,1,2,23,90,57,36,3,16,0,7,0,0,0,0,20,63,54,15,6,8,3,5,0,35,0,23
e30b9829e42aa4ca,e2f6b2769aaedd6c,Serghei Spivac,L,0,0,0,43,83,63,26,116,101,83,40,2,1,6,0,36,80,54,23,7,3,9,3,0,0,0,0,15,74,48,20,5,9,3,6,23,0,12,0
d9a218ac3e148541,2f181c0467965b98,Brendan Allen,W,0,0,0,4,29,1,20,5,52,1,38,0,1,1,0,0,26,0,17,4,3,1,3,0,0,0,0,0,3,1,2,4,3,0,2,0,23,0,16
d9a218ac3e148541,1588b787bda7b540,Tom Breese,L,0,0,0,20,5,9,4,38,6,14,5,0,1,1,0,17,0,9,0,3,5,0,4,0,0,0,0,2,1,1,0,2,4,1,4,16,0,7,0
0e3af9b5e1b3ae80,002ca196477ce572,Gabriel Silva,L,0,0,1,89,97,79,31,112,112,83,43,2,6,2,2,66,85,73,22,13,9,6,6,10,3,0,3,58,89,66,27,11,3,4,1,20,5,9,3
0e3af9b5e1b3ae80,60425d07ef4b91a7,Kyler Phillips,W,0,0,1,31,168,66,89,43,195,69,112,2,4,4,2,22,139,63,66,6,19,3,13,3,10,0,10,27,124,62,58,1,15,2,11,3,29,2,20
