fight_id,fighter_id,fighter_name,fighter_status,kd,n_pass,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,total_str_abs,total_str_att,total_str_def,total_str_land,td_abs,td_att,td_def,td_land,head_abs,head_att,head_def,head_land,body_abs,body_att,body_def,body_land,leg_abs,leg_att,leg_def,leg_land,distance_abs,distance_att,distance_def,distance_land,clinch_abs,clinch_att,clinch_def,clinch_land,ground_abs,ground_att,ground_def,ground_land
3ac61bcb406e1a0c,"['6d68c1afe954f121', 'c9587d81e1d33925']","['Ode Osbourne', 'Jerome Rivera']","['W', 'L']","[1, 0]","[0, 0]","[0, 0]","[2, 5]","[6, 3]","[1, 1]","[5, 2]","[2, 5]","[6, 3]","[1, 1]","[5, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 5]","[6, 1]","[1, 1]","[5, 0]","[1, 0]","[0, 1]","[0, 0]","[0, 1]","[1, 0]","[0, 1]","[0, 0]","[0, 1]","[2, 1]","[1, 3]","[1, 0]","[1, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 4]","[5, 0]","[0, 1]","[4, 0]"
64bee58391921b4b,"['6fd953151d981979', 'f923e012414c883e']","['JJ Aldrich', 'Lauren Mueller']","['W', 'L']","[0, 0]","[0, 0]","[0, 0]","[54, 74]","[160, 147]","[93, 86]","[74, 54]","[60, 78]","[164, 153]","[93, 86]","[78, 60]","[1, 1]","[2, 1]","[0, 1]","[1, 1]","[34, 59]","[142, 117]","[83, 83]","[59, 34]","[10, 10]","[11, 20]","[10, 1]","[10, 10]","[10, 5]","[7, 10]","[0, 2]","[5, 10]","[52, 70]","[151, 145]","[93, 81]","[70, 52]","[2, 4]","[9, 2]","[0, 5]","[4, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
1e3d3545b6dd13a7,"['f86cb5f25d545e0e', '04c8b08b16a5b99e']","['Daniel Spitz', 'Tanner Boser']","['L', 'W']","[0, 0]","[0, 0]","[0, 0]","[93, 32]","[108, 151]","[58, 76]","[32, 93]","[93, 32]","[108, 151]","[58, 76]","[32, 93]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[33, 20]","[83, 86]","[53, 63]","[20, 33]","[25, 6]","[16, 27]","[2, 10]","[6, 25]","[35, 6]","[9, 38]","[3, 3]","[6, 35]","[93, 32]","[108, 151]","[58, 76]","[32, 93]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
3d9aeef58dd0b51b,"['41f90012b86a11bf', '6a11e325aa60ad02']","['Raphael Pessoa', 'Jeff Hughes']","['W', 'L']","[1, 0]","[0, 1]","[0, 0]","[34, 39]","[138, 77]","[43, 99]","[39, 34]","[48, 43]","[143, 93]","[45, 100]","[43, 48]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 22]","[112, 46]","[36, 90]","[22, 10]","[6, 3]","[8, 9]","[3, 5]","[3, 6]","[18, 14]","[18, 22]","[4, 4]","[14, 18]","[28, 32]","[125, 68]","[40, 93]","[32, 28]","[3, 7]","[13, 4]","[1, 6]","[7, 3]","[3, 0]","[0, 5]","[2, 0]","[0, 3]"
d7cbe2f23d75afd1,"['1291edf2d566a71a', '2c9d00968f818270']","['Julio Arce', 'Hakeem Dawodu']","['L', 'W']","[0, 0]","[0, 1]","[0, 0]","[55, 32]","[124, 139]","[84, 92]","[32, 55]","[83, 64]","[162, 170]","[87, 98]","[64, 83]","[0, 1]","[3, 0]","[0, 2]","[1, 0]","[15, 21]","[101, 79]","[64, 80]","[21, 15]","[25, 11]","[22, 42]","[17, 11]","[11, 25]","[15, 0]","[1, 18]","[3, 1]","[0, 15]","[40, 28]","[116, 121]","[81, 88]","[28, 40]","[11, 4]","[8, 14]","[3, 4]","[4, 11]","[4, 0]","[0, 4]","[0, 0]","[0, 4]"
f0418c2c989a5cde,"['d3fa5c5955397532', '113df4fde64735c6']","['Grigory Popov', 'Davey Grant']","['L', 'W']","[0, 0]","[2, 1]","[0, 0]","[30, 35]","[88, 63]","[33, 53]","[35, 30]","[34, 57]","[111, 70]","[36, 54]","[57, 34]","[6, 0]","[0, 9]","[3, 0]","[0, 6]","[8, 16]","[57, 32]","[24, 41]","[16, 8]","[12, 14]","[22, 19]","[7, 8]","[14, 12]","[10, 5]","[9, 12]","[2, 4]","[5, 10]","[27, 25]","[65, 52]","[25, 40]","[25, 27]","[0, 4]","[5, 2]","[2, 1]","[4, 0]","[3, 6]","[18, 9]","[6, 12]","[6, 3]"
18e1b0df8da7010e,"['9b7dfb3b7d99926a', '68d4a891e5cf2029']","['Vanessa Melo', 'Tracy Cortez']","['L', 'W']","[0, 0]","[0, 0]","[0, 0]","[79, 40]","[125, 140]","[61, 85]","[40, 79]","[155, 76]","[161, 224]","[69, 85]","[76, 155]","[2, 0]","[0, 9]","[7, 0]","[0, 2]","[53, 32]","[116, 109]","[56, 84]","[32, 53]","[16, 7]","[7, 18]","[2, 0]","[7, 16]","[10, 1]","[2, 13]","[3, 1]","[1, 10]","[46, 32]","[117, 103]","[57, 85]","[32, 46]","[12, 6]","[6, 12]","[0, 0]","[6, 12]","[21, 2]","[2, 25]","[4, 0]","[2, 21]"
81af3b60203d92df,"['ea7e5bc78d9de658', 'f797f0c57a83353e']","['Makhmud Muradov', 'Trevor Smith']","['W', 'L']","[1, 0]","[0, 0]","[1, 0]","[39, 91]","[183, 96]","[57, 92]","[91, 39]","[39, 91]","[183, 96]","[57, 92]","[91, 39]","[0, 1]","[1, 1]","[1, 0]","[1, 0]","[20, 59]","[143, 71]","[51, 84]","[59, 20]","[5, 32]","[40, 8]","[3, 8]","[32, 5]","[14, 0]","[0, 17]","[3, 0]","[0, 14]","[38, 91]","[182, 95]","[57, 91]","[91, 38]","[1, 0]","[1, 1]","[0, 1]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
30523303e8d85c25,"['64facb6cc564262d', '1cf7ccf64a5bf24e']","['Punahele Soriano', 'Oskar Piechota']","['W', 'L']","[2, 0]","[0, 1]","[0, 0]","[8, 26]","[44, 17]","[9, 18]","[26, 8]","[11, 26]","[46, 20]","[9, 20]","[26, 11]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","[4, 20]","[37, 11]","[7, 17]","[20, 4]","[3, 6]","[7, 4]","[1, 1]","[6, 3]","[1, 0]","[0, 2]","[1, 0]","[0, 1]","[3, 10]","[19, 12]","[9, 9]","[10, 3]","[4, 2]","[3, 4]","[0, 1]","[2, 4]","[1, 14]","[22, 1]","[0, 8]","[14, 1]"
15aa55a91cf848cf,"['1897b7b913736a7c', '20999e27ddd94bda']","['Heili Alateng', 'Ryan Benoit']","['W', 'L']","[0, 0]","[0, 0]","[0, 0]","[68, 47]","[131, 128]","[60, 84]","[47, 68]","[84, 72]","[160, 145]","[61, 88]","[72, 84]","[0, 4]","[13, 1]","[1, 9]","[4, 0]","[45, 27]","[108, 101]","[56, 81]","[27, 45]","[17, 11]","[13, 21]","[4, 2]","[11, 17]","[6, 9]","[10, 6]","[0, 1]","[9, 6]","[53, 47]","[131, 112]","[59, 84]","[47, 53]","[15, 0]","[0, 16]","[1, 0]","[0, 15]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
